nm	    Data
343.4	10.74
343.6	10.81
343.8	10.86
344.0	10.91
344.2	10.96
344.4	11.03
344.6	11.08
344.8	11.13
345.0	11.19
345.2	11.24
345.4	11.30
345.6	11.35
345.8	11.39
346.0	11.45
346.2	11.51
346.4	11.57
346.6	11.63
346.8	11.70
347.0	11.76
347.2	11.83
347.4	11.90
347.6	11.97
347.8	12.05
348.0	12.13
348.2	12.19
348.4	12.28
348.6	12.34
348.8	12.42
349.0	12.49
349.2	12.58
349.4	12.66
349.6	12.74
349.8	12.85
350.0	12.91
350.2	13.01
350.4	13.10
350.6	13.22
350.8	13.31
351.0	13.42
351.2	13.50
351.4	13.62
351.6	13.74
351.8	13.84
352.0	13.95
352.2	14.06
352.4	14.17
352.6	14.28
352.8	14.38
353.0	14.50
353.2	14.62
353.4	14.74
353.6	14.86
353.8	14.98
354.0	15.09
354.2	15.19
354.4	15.31
354.6	15.44
354.8	15.56
355.0	15.69
355.2	15.82
355.4	15.95
355.6	16.07
355.8	16.21
356.0	16.35
356.2	16.49
356.4	16.63
356.6	16.76
356.8	16.89
357.0	17.03
357.2	17.17
357.4	17.30
357.6	17.44
357.8	17.57
358.0	17.71
358.2	17.82
358.4	17.96
358.6	18.09
358.8	18.22
359.0	18.33
359.2	18.46
359.4	18.58
359.6	18.72
359.8	18.83
360.0	18.94
360.2	19.08
360.4	19.23
360.6	19.36
360.8	19.48
361.0	19.61
361.2	19.76
361.4	19.90
361.6	20.03
361.8	20.16
362.0	20.28
362.2	20.40
362.4	20.55
362.6	20.69
362.8	20.83
363.0	20.96
363.2	21.10
363.4	21.25
363.6	21.43
363.8	21.59
364.0	21.77
364.2	21.95
364.4	22.10
364.6	22.27
364.8	22.46
365.0	22.67
365.2	22.87
365.4	23.09
365.6	23.29
365.8	23.49
366.0	23.72
366.2	23.95
366.4	24.18
366.6	24.42
366.8	24.65
367.0	24.89
367.2	25.12
367.4	25.36
367.6	25.57
367.8	25.80
368.0	26.03
368.2	26.28
368.4	26.51
368.6	26.74
368.8	26.98
369.0	27.21
369.2	27.45
369.4	27.67
369.6	27.91
369.8	28.16
370.0	28.40
370.2	28.68
370.4	28.92
370.6	29.15
370.8	29.40
371.0	29.68
371.2	29.95
371.4	30.23
