Angle,PSD
28.8443,352
28.8585,342
28.8726,367
28.8868,368
28.901,349
28.9152,383
28.9293,377
28.9435,359
28.9577,339
28.9719,322
28.986,343
29.0002,319
29.0144,320
29.0286,352
29.0427,309
29.0569,306
29.0711,306
29.0853,334
29.0994,313
29.1136,311
29.1278,285
29.142,296
29.1561,276
29.1703,306
29.1845,317
29.1987,327
29.2128,326
29.227,326
29.2412,319
29.2554,341
29.2695,311
29.2837,329
29.2979,340
29.3121,355
29.3262,385
29.3404,391
29.3546,414
29.3688,392
29.3829,389
29.3971,400
29.4113,351
29.4255,352
29.4396,392
29.4538,351
29.468,351
29.4822,335
29.4963,348
29.5105,317
29.5247,344
29.5389,318
29.553,331
29.5672,311
29.5814,319
29.5956,311
29.6097,279
29.6239,331
29.6381,322
29.6523,281
29.6664,273
29.6806,289
29.6948,295
29.709,317
29.7231,279
29.7373,272
29.7515,281
29.7657,252
29.7798,252
29.794,263
29.8082,290
29.8224,251
29.8365,260
29.8507,246
29.8649,259
29.8791,275
29.8932,282
29.9074,258
29.9216,232
29.9358,251
29.9499,254
29.9641,275
29.9783,267
29.9925,270
30.0066,224
30.0208,250
30.035,229
30.0492,246
30.0633,249
30.0775,220
30.0917,234
30.1059,236
30.12,239
30.1342,231
30.1484,262
30.1626,233
30.1767,241
30.1909,236
30.2051,231
30.2193,240
30.2334,247
30.2476,236
30.2618,229
30.276,230
30.2901,227
30.3043,238
30.3185,238
30.3327,235
30.3468,233
30.361,247
30.3752,262
30.3894,236
30.4035,244
30.4177,226
30.4319,234
30.4461,233
30.4602,253
30.4744,274
30.4886,250
30.5028,268
30.5169,287
30.5311,274
30.5453,268
30.5595,279
30.5736,299
30.5878,278
30.602,300
30.6162,292
30.6303,296
30.6445,303
30.6587,298
30.6729,304
30.687,313
30.7012,283
30.7154,286
30.7296,320
30.7437,288
30.7579,282
30.7721,283
30.7863,268
30.8004,260
30.8146,304
30.8288,240
30.843,279
30.8571,256
30.8713,265
30.8855,315
30.8997,280
30.9138,306
30.928,323
30.9422,289
30.9564,315
30.9705,291
30.9847,249
30.9989,287
31.0131,295
31.0272,274
31.0414,276
31.0556,298
31.0698,278
31.0839,278
31.0981,307
31.1123,261
31.1265,290
31.1406,306
31.1548,298
31.169,300
31.1832,270
31.1973,294
31.2115,323
31.2257,352
31.2399,318
31.2541,304
31.2682,353
31.2824,343
31.2966,354
31.3108,370
31.3249,340
31.3391,374
31.3533,373
31.3675,436
31.3816,405
31.3958,407
31.41,435
31.4242,464
31.4383,470
31.4525,476
31.4667,470
31.4809,530
31.495,548
31.5092,566
31.5234,566
31.5376,648
31.5517,638
31.5659,780
31.5801,786
31.5943,813
31.6084,896
31.6226,922
31.6368,958
31.651,1074
31.6651,1047
31.6793,1109
31.6935,1145
31.7077,1167
31.7218,1093
31.736,1037
31.7502,1018
31.7644,1011
31.7785,1017
31.7927,1003
31.8069,928
31.8211,844
31.8352,841
31.8494,852
31.8636,738
31.8778,744
31.8919,689
31.9061,651
31.9203,630
31.9345,629
31.9486,583
31.9628,545
31.977,634
31.9912,633
32.0053,586
32.0195,632
32.0337,620
32.0479,589
32.062,622
32.0762,702
32.0904,720
32.1046,687
32.1187,695
32.1329,720
32.1471,785
32.1613,722
32.1754,747
32.1896,723
32.2038,637
32.218,623
32.2321,577
32.2463,579
32.2605,566
32.2747,519
32.2888,515
32.303,505
32.3172,463
32.3314,405
32.3455,455
32.3597,410
32.3739,419
32.3881,391
32.4022,398
32.4164,376
32.4306,374
32.4448,380
32.4589,405
32.4731,366
32.4873,390
32.5015,399
32.5156,366
32.5298,370
32.544,366
32.5582,396
32.5723,362
32.5865,414
32.6007,445
32.6149,451
32.629,424
32.6432,420
32.6574,477
32.6716,531
32.6857,536
32.6999,567
32.7141,601
32.7283,634
32.7424,613
32.7566,659
32.7708,737
32.785,699
32.7991,809
32.8133,710
32.8275,739
32.8417,782
32.8558,731
32.87,760
32.8842,716
32.8984,677
32.9125,684
32.9267,616
32.9409,596
32.9551,523
32.9692,533
32.9834,530
32.9976,495
33.0118,474
33.0259,379
33.0401,376
33.0543,390
33.0685,388
33.0826,357
33.0968,347
33.111,351
33.1252,330
33.1393,317
33.1535,330
33.1677,304
33.1819,288
33.196,285
33.2102,325
33.2244,268
33.2386,274
33.2527,278
33.2669,274
33.2811,269
33.2953,253
33.3094,244
33.3236,290
33.3378,266
33.352,266
33.3661,233
33.3803,228
33.3945,226
33.4087,237
33.4228,226
33.437,231
33.4512,244
33.4654,251
33.4795,230
33.4937,253
33.5079,214
33.5221,239
33.5362,226
33.5504,241
33.5646,228
33.5788,225
33.5929,201
33.6071,235
33.6213,221
33.6355,201
33.6496,225
33.6638,217
33.678,218
33.6922,227
33.7063,231
33.7205,215
33.7347,236
33.7489,252
33.763,258
33.7772,222
33.7914,242
33.8056,208
33.8197,238
33.8339,248
33.8481,258
33.8623,267
33.8764,261
33.8906,286
33.9048,271
33.919,250
33.9331,313
33.9473,277
33.9615,319
33.9757,347
33.9898,349
34.004,332
34.0182,315
34.0324,326
34.0465,318
34.0607,315
34.0749,335
34.0891,302
34.1032,295
34.1174,305
34.1316,271
34.1458,277
34.1599,280
34.1741,255
34.1883,239
34.2025,210
34.2166,226
34.2308,192
34.245,236
34.2592,203
34.2733,208
34.2875,240
34.3017,212
34.3159,239
34.33,194
34.3442,216
34.3584,218
34.3726,177
34.3867,201
34.4009,199
34.4151,216
34.4293,192
34.4434,215
34.4576,210
34.4718,193
34.486,190
34.5001,186
34.5143,187
34.5285,197
34.5427,198
34.5568,167
34.571,179
34.5852,160
34.5994,167
34.6135,172
34.6277,167
34.6419,178
34.6561,157
34.6702,197
34.6844,185
34.6986,164
34.7128,159
34.7269,150
34.7411,176
34.7553,158
34.7695,168
34.7836,182
34.7978,169
34.812,154
34.8262,167
34.8403,155
34.8545,170
34.8687,201
34.8829,142
34.897,126
34.9112,160
34.9254,177
34.9396,145
34.9537,154
34.9679,165
34.9821,154
34.9963,168
35.0104,180
35.0246,162
35.0388,139
35.053,166
35.0672,159
35.0813,158
35.0955,156
35.1097,152
35.1239,154
35.138,153
35.1522,166
35.1664,167
35.1806,177
35.1947,175
35.2089,143
35.2231,171
35.2373,159
35.2514,185
35.2656,178
35.2798,176
35.294,176
35.3081,186
35.3223,159
35.3365,196
35.3507,209
35.3648,173
35.379,199
35.3932,199
35.4074,175
35.4215,179
35.4357,178
35.4499,163
35.4641,162
35.4782,200
35.4924,206
35.5066,194
35.5208,192
35.5349,165
35.5491,181
35.5633,152
35.5775,173
35.5916,141
35.6058,133
35.62,191
35.6342,149
35.6483,177
35.6625,161
35.6767,153
35.6909,146
35.705,151
35.7192,150
35.7334,159
35.7476,166
35.7617,189
35.7759,157
35.7901,138
35.8043,156
35.8184,135
35.8326,140
35.8468,162
35.861,139
35.8751,162
35.8893,160
35.9035,167
35.9177,157
35.9318,152
35.946,166
35.9602,142
35.9744,150
35.9885,143
36.0027,156
36.0169,146
36.0311,137
36.0452,154
36.0594,158
36.0736,147
36.0878,145
36.1019,152
36.1161,128
36.1303,121
36.1445,164
36.1586,158
36.1728,154
36.187,132
36.2012,160
36.2153,160
36.2295,116
36.2437,145
36.2579,141
36.272,138
36.2862,142
36.3004,149
36.3146,134
36.3287,135
36.3429,161
36.3571,126
36.3713,128
36.3854,154
36.3996,140
36.4138,113
36.428,142
36.4421,147
36.4563,143
36.4705,142
36.4847,145
36.4988,117
36.513,141
36.5272,115
36.5414,130
36.5555,137
36.5697,144
36.5839,148
36.5981,135
36.6122,144
36.6264,147
36.6406,150
36.6548,146
36.6689,136
36.6831,133
36.6973,134
36.7115,128
36.7256,139
36.7398,130
36.754,130
36.7682,151
36.7823,120
36.7965,143
36.8107,149
36.8249,145
36.839,118
36.8532,140
36.8674,126
36.8816,132
36.8957,157
36.9099,139
36.9241,138
36.9383,157
36.9524,167
36.9666,113
36.9808,158
36.995,144
37.0091,151
37.0233,122
37.0375,134
37.0517,142
37.0658,156
37.08,153
37.0942,144
37.1084,152
37.1225,156
37.1367,125
37.1509,128
37.1651,144
37.1792,134
37.1934,117
37.2076,161
37.2218,147
37.2359,128
37.2501,154
37.2643,145
37.2785,156
37.2926,141
37.3068,141
37.321,144
37.3352,140
37.3493,136
37.3635,132
37.3777,131
37.3919,124
37.406,138
37.4202,149
37.4344,163
37.4486,158
37.4627,150
37.4769,166
37.4911,141
37.5053,133
37.5194,124
37.5336,142
37.5478,127
37.562,129
37.5761,140
37.5903,137
37.6045,119
37.6187,148
37.6328,139
37.647,132
37.6612,133
37.6754,149
37.6895,144
37.7037,153
37.7179,155
37.7321,145
37.7462,135
37.7604,138
37.7746,126
37.7888,129
37.8029,140
37.8171,155
37.8313,152
37.8455,164
37.8596,143
37.8738,131
37.888,165
37.9022,134
37.9163,134
37.9305,151
37.9447,145
37.9589,124
37.973,153
37.9872,136
38.0014,132
38.0156,141
38.0297,145
38.0439,158
38.0581,159
38.0723,145
38.0864,143
38.1006,132
38.1148,141
38.129,151
38.1431,149
38.1573,149
38.1715,150
38.1857,165
38.1998,130
38.214,148
38.2282,125
38.2424,153
38.2565,134
38.2707,150
38.2849,148
38.2991,132
38.3132,122
38.3274,141
38.3416,155
38.3558,141
38.3699,135
38.3841,145
38.3983,151
38.4125,132
38.4266,137
38.4408,137
38.455,153
38.4692,149
38.4833,151
38.4975,147
38.5117,151
38.5259,155
38.54,139
38.5542,125
38.5684,127
38.5826,189
38.5967,143
38.6109,142
38.6251,154
38.6393,161
38.6534,156
38.6676,150
38.6818,164
38.696,154
38.7101,162
38.7243,151
38.7385,141
38.7527,148
38.7668,152
38.781,130
38.7952,125
38.8094,144
38.8235,156
38.8377,156
38.8519,157
38.8661,153
38.8803,162
38.8944,142
38.9086,173
38.9228,146
38.937,168
38.9511,199
38.9653,168
38.9795,185
38.9937,167
39.0078,205
39.022,190
39.0362,193
39.0504,176
39.0645,166
39.0787,160
39.0929,203
39.1071,208
39.1212,204
39.1354,194
39.1496,195
39.1638,192
39.1779,185
39.1921,207
39.2063,191
39.2205,200
39.2346,199
39.2488,198
39.263,203
39.2772,213
39.2913,195
39.3055,218
39.3197,180
39.3339,203
39.348,212
39.3622,232
39.3764,224
39.3906,196
39.4047,207
39.4189,200
39.4331,193
39.4473,211
39.4614,207
39.4756,225
39.4898,253
39.504,221
39.5181,230
39.5323,226
39.5465,249
39.5607,276
39.5748,232
39.589,291
39.6032,306
39.6174,289
39.6315,343
39.6457,297
39.6599,339
39.6741,347
39.6882,336
39.7024,343
39.7166,334
39.7308,353
39.7449,332
39.7591,346
39.7733,359
39.7875,315
39.8016,321
39.8158,294
39.83,297
39.8442,283
39.8583,278
39.8725,253
39.8867,284
39.9009,240
39.915,251
39.9292,226
39.9434,229
39.9576,226
39.9717,182
39.9859,245
40.0001,201
40.0143,195
40.0284,214
40.0426,175
40.0568,164
40.071,183
